userId,movieId,prediction
1,2858,3.305870771408081
1,589,2.985860586166382
1,480,2.971665143966675
1,593,2.961930990219116
1,260,2.959696054458618
1,2571,2.9545984268188477
1,1580,2.9495372772216797
1,318,2.9308807849884033
1,2028,2.9131739139556885
1,608,2.9073898792266846
2,2858,3.22477650642395
2,1580,3.126739025115967
2,480,3.1047959327697754
2,2762,3.1025443077087402
2,589,2.943281650543213
2,2571,2.9319870471954346
2,3578,2.9069128036499023
2,260,2.805589199066162
2,1196,2.76585054397583
2,110,2.7535810470581055
3,2858,3.2464914321899414
3,2762,3.0990941524505615
3,1580,3.0545804500579834
3,589,2.957845449447632
3,2571,2.9404919147491455
3,3578,2.885439872741699
3,2628,2.8753044605255127
3,260,2.87174654006958
3,1196,2.8277013301849365
3,2028,2.8142051696777344
5,2858,3.313554286956787
5,2762,3.16961407661438
5,480,2.9760353565216064
5,589,2.96052885055542
5,3578,2.9414236545562744
5,2571,2.940232753753662
5,593,2.915463924407959
5,260,2.8963592052459717
5,318,2.882721424102783
5,2997,2.875607490539551
6,2858,3.2772440910339355
6,2762,3.1225829124450684
6,480,2.9750962257385254
6,589,2.96250319480896
6,1580,2.957949638366699
6,260,2.9475767612457275
6,2571,2.935788869857788
6,593,2.919084072113037
6,318,2.893216371536255
6,1196,2.8843464851379395
7,2858,3.2926502227783203
7,2762,3.1419973373413086
7,1580,3.011836051940918
7,260,2.9140095710754395
7,593,2.8923697471618652
7,318,2.852616548538208
7,608,2.8404150009155273
7,2997,2.8306658267974854
7,2628,2.8133156299591064
7,1265,2.8063836097717285
8,2858,3.2687392234802246
8,2762,3.1313538551330566
8,1580,3.0079827308654785
8,480,2.9927289485931396
8,3578,2.941882848739624
8,589,2.9142909049987793
8,2571,2.897458791732788
8,2628,2.817939281463623
8,2997,2.809781551361084
8,260,2.8021678924560547
9,2858,3.3136188983917236
9,2762,3.166076898574829
9,589,2.96744441986084
9,1580,2.954880714416504
9,2571,2.9483702182769775
9,593,2.947917938232422
9,3578,2.9206647872924805
9,318,2.9148104190826416
9,260,2.911050796508789
9,608,2.9009244441986084
10,2858,3.2952566146850586
10,2762,3.1363658905029297
10,480,2.980994939804077
10,1580,2.9638688564300537
10,589,2.963364362716675
10,2571,2.935190439224243
10,260,2.9265995025634766
10,3578,2.9153013229370117
10,593,2.9069132804870605
10,318,2.880120038986206
11,2858,3.2652223110198975
11,2762,3.1256494522094727
11,1580,2.981062650680542
11,3578,2.9566080570220947
11,480,2.953935384750366
11,589,2.873469829559326
11,2571,2.8617074489593506
11,2716,2.850330352783203
11,2997,2.823949098587036
11,2628,2.7979698181152344
13,2858,3.213848829269409
13,1580,3.111664295196533
13,480,3.095384359359741
13,2762,3.0708258152008057
13,589,2.969097852706909
13,2571,2.9619386196136475
13,2628,2.9343197345733643
13,260,2.895250082015991
13,3578,2.8520665168762207
13,1196,2.8450522422790527
15,2858,3.239377021789551
15,2762,3.0990538597106934
15,1580,3.0483858585357666
15,480,3.039119243621826
15,3578,2.919675827026367
15,589,2.917933702468872
15,2628,2.9084503650665283
15,2571,2.898282766342163
15,260,2.790029764175415
15,2716,2.7576072216033936
16,2858,3.361423969268799
16,2762,3.278411626815796
16,3578,3.151705265045166
16,2716,3.0885539054870605
16,2997,2.956820249557495
16,1580,2.941289186477661
16,480,2.9364330768585205
16,3408,2.93418025970459
16,2396,2.90091609954834
16,589,2.8543484210968018
17,2858,3.2225377559661865
17,480,3.1197705268859863
17,2762,3.080202579498291
17,2628,2.969156503677368
17,589,2.9666757583618164
17,2571,2.957334041595459
17,3578,2.8898630142211914
17,260,2.8701350688934326
17,1196,2.8191816806793213
17,1240,2.7896292209625244
18,2858,3.332256317138672
18,2762,3.1736316680908203
18,593,3.0135021209716797
18,318,2.9801409244537354
18,589,2.9716622829437256
18,1265,2.9619808197021484
18,608,2.9612910747528076
18,2571,2.949246406555176
18,260,2.9444525241851807
18,2028,2.9413533210754395
19,2762,3.166445255279541
19,3578,2.9898123741149902
19,1580,2.9839870929718018
19,2716,2.9016880989074707
19,2571,2.900192975997925
19,2997,2.8429758548736572
19,260,2.839672803878784
19,2628,2.82016658782959
19,593,2.8083672523498535
19,2028,2.7912917137145996
22,2858,3.2403974533081055
22,2762,3.093599796295166
22,1580,3.045473337173462
22,480,3.0358293056488037
22,589,2.9361135959625244
22,2571,2.921511650085449
22,3578,2.8943991661071777
22,2628,2.8837857246398926
22,260,2.8385252952575684
22,1196,2.7959396839141846
23,2858,3.2895472049713135
23,2762,3.1271774768829346
23,480,2.994577646255493
23,1580,2.9796791076660156
23,589,2.970273971557617
23,2571,2.9452857971191406
23,260,2.9176723957061768
23,3578,2.905357599258423
23,593,2.903667688369751
23,2028,2.873202085494995
24,2858,3.3166205883026123
24,2762,3.1609079837799072
24,589,2.991650342941284
24,480,2.976644277572632
24,593,2.971987247467041
24,2571,2.964348077774048
24,1580,2.9502675533294678
24,318,2.9363913536071777
24,2028,2.9242539405822754
24,608,2.9167723655700684
25,2858,3.2254064083099365
25,2762,3.076974630355835
25,1580,3.0598485469818115
25,480,3.0415241718292236
25,2628,2.9242091178894043
25,589,2.919827461242676
25,2571,2.9016382694244385
25,3578,2.898409605026245
25,260,2.7978861331939697
25,1196,2.76151967048645
26,2858,3.3018481731414795
26,2762,3.1643612384796143
26,480,2.986830234527588
26,1580,2.9801857471466064
26,589,2.9628264904022217
26,2571,2.9415862560272217
26,3578,2.9285435676574707
26,593,2.9059269428253174
26,260,2.893927812576294
26,318,2.873690605163574
27,2858,3.2970333099365234
27,2762,3.1328606605529785
27,589,2.987091302871704
27,480,2.973930597305298
27,593,2.96807599067688
27,2571,2.9625041484832764
27,1580,2.9500784873962402
27,318,2.932053804397583
27,2028,2.9210565090179443
27,1196,2.9190754890441895
28,2762,3.154542922973633
28,589,2.9865212440490723
28,480,2.97636342048645
28,593,2.960909843444824
28,2571,2.9559414386749268
28,1580,2.9530317783355713
28,260,2.942012071609497
28,318,2.9252705574035645
28,3578,2.9224276542663574
28,2028,2.9118754863739014
29,2858,3.2193591594696045
29,1580,3.1343231201171875
29,480,3.1237359046936035
29,2762,3.070406198501587
29,589,3.0045573711395264
29,2571,2.989299774169922
29,2628,2.9259252548217773
29,260,2.914581775665283
29,1196,2.875749349594116
29,3578,2.8375701904296875
30,318,2.9909534454345703
30,589,2.9872050285339355
30,260,2.9663054943084717
30,2571,2.9559075832366943
30,3578,2.953571081161499
30,480,2.9365789890289307
30,1265,2.9116971492767334
30,1196,2.904778242111206
30,1580,2.8989598751068115
30,2396,2.881575584411621
31,2858,3.288809299468994
31,2762,3.1070964336395264
31,589,2.967489242553711
31,260,2.961134910583496
31,480,2.953218460083008
31,593,2.9531264305114746
31,2571,2.947063446044922
31,1580,2.9416122436523438
31,318,2.9206271171569824
31,1265,2.9067916870117188
32,2858,3.340224027633667
32,589,2.985098361968994
32,480,2.9552829265594482
32,318,2.954525947570801
32,260,2.9541287422180176
32,3578,2.9439656734466553
32,1580,2.9261672496795654
32,2997,2.902501106262207
32,1196,2.89542818069458
32,1265,2.889507532119751
33,2858,3.296596050262451
33,2762,3.140881061553955
33,480,2.9877593517303467
33,589,2.977266550064087
33,1580,2.97666335105896
33,2571,2.958498477935791
33,593,2.93569016456604
33,260,2.9304604530334473
33,318,2.8983237743377686
33,2028,2.896155834197998
34,2858,3.270947217941284
34,2762,3.130345106124878
34,1580,2.982640266418457
34,480,2.9535391330718994
34,3578,2.9383621215820312
34,589,2.88667631149292
34,2571,2.877531051635742
34,2997,2.839250326156616
34,2716,2.8321259021759033
34,1265,2.81520414352417
35,2858,3.2946488857269287
35,2762,3.132342576980591
35,1580,2.947294235229492
35,480,2.943920612335205
35,589,2.9430463314056396
35,2571,2.923046588897705
35,593,2.9173829555511475
35,1265,2.9013779163360596
35,260,2.9009509086608887
35,3578,2.8989713191986084
36,2858,3.290015935897827
36,2762,3.130469799041748
36,480,3.013167381286621
36,1580,2.996351957321167
36,589,2.982468843460083
36,2571,2.957744836807251
36,260,2.9425647258758545
36,593,2.9136927127838135
36,3578,2.9002180099487305
36,2028,2.8875060081481934
37,2858,3.284893035888672
37,2762,3.1312313079833984
37,1580,2.969426155090332
37,480,2.9608728885650635
37,589,2.935702323913574
37,2571,2.91763973236084
37,3578,2.9070558547973633
37,593,2.882582902908325
37,260,2.8818423748016357
37,318,2.8622679710388184
38,2858,3.2877418994903564
38,2762,3.142169952392578
38,480,2.980466604232788
38,1580,2.9799559116363525
38,589,2.9366049766540527
38,3578,2.932774543762207
38,2571,2.9161829948425293
38,260,2.8677878379821777
38,593,2.8568599224090576
38,2997,2.839747190475464
39,2858,3.364107370376587
39,2716,3.0834462642669678
39,480,2.958057165145874
39,3408,2.948908805847168
39,2997,2.947603225708008
39,1580,2.947099208831787
39,2396,2.9220170974731445
